年,月,日,時,分,秒,オーダー,ロット,生産数,不良数,ランスショート,ヒケショート,糸引き,薄壁ショート,PC保存日付,PC保存時間
2023,5,28,13,18,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:18:05
2023,5,28,13,18,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:18:15
2023,5,28,13,18,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:18:25
2023,5,28,13,18,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:18:35
2023,5,28,13,18,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:18:45
2023,5,28,13,18,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:18:55
2023,5,28,13,19,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:19:05
2023,5,28,13,19,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:19:15
2023,5,28,13,19,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:19:25
2023,5,28,13,19,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:19:35
2023,5,28,13,19,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:19:45
2023,5,28,13,19,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:19:55
2023,5,28,13,20,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:20:05
2023,5,28,13,20,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:20:15
2023,5,28,13,20,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:20:25
2023,5,28,13,20,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:20:35
2023,5,28,13,20,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:20:45
2023,5,28,13,20,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:20:55
2023,5,28,13,21,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:21:05
2023,5,28,13,21,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:21:15
2023,5,28,13,21,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:21:25
2023,5,28,13,21,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:21:35
2023,5,28,13,21,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:21:45
2023,5,28,13,21,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:21:55
2023,5,28,13,22,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:22:05
2023,5,28,13,22,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:22:15
2023,5,28,13,22,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:22:25
2023,5,28,13,22,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:22:35
2023,5,28,13,22,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:22:45
2023,5,28,13,22,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:22:55
2023,5,28,13,23,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:23:05
2023,5,28,13,23,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:23:15
2023,5,28,13,23,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:23:25
2023,5,28,13,23,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:23:35
2023,5,28,13,23,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:23:45
2023,5,28,13,23,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:23:55
2023,5,28,13,24,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:24:05
2023,5,28,13,24,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:24:15
2023,5,28,13,24,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:24:25
2023,5,28,13,24,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:24:35
2023,5,28,13,24,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:24:45
2023,5,28,13,24,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:24:55
2023,5,28,13,25,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:25:05
2023,5,28,13,25,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:25:15
2023,5,28,13,25,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:25:25
2023,5,28,13,25,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:25:35
2023,5,28,13,25,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:25:45
2023,5,28,13,25,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:25:55
2023,5,28,13,26,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:26:05
2023,5,28,13,26,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:26:15
2023,5,28,13,26,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:26:25
2023,5,28,13,26,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:26:35
2023,5,28,13,26,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:26:45
2023,5,28,13,26,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:26:55
2023,5,28,13,27,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:27:05
2023,5,28,13,27,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:27:15
2023,5,28,13,27,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:27:25
2023,5,28,13,27,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:27:35
2023,5,28,13,27,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:27:45
2023,5,28,13,27,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:27:55
2023,5,28,13,28,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:28:05
2023,5,28,13,28,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:28:15
2023,5,28,13,28,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:28:25
2023,5,28,13,28,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:28:35
2023,5,28,13,28,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:28:45
2023,5,28,13,28,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:28:55
2023,5,28,13,29,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:29:05
2023,5,28,13,29,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:29:15
2023,5,28,13,29,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:29:25
2023,5,28,13,29,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:29:35
2023,5,28,13,29,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:29:45
2023,5,28,13,29,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:29:55
2023,5,28,13,30,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:30:05
2023,5,28,13,30,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:30:15
2023,5,28,13,30,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:30:25
2023,5,28,13,30,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:30:35
2023,5,28,13,30,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:30:45
2023,5,28,13,30,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:30:55
2023,5,28,13,31,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:31:05
2023,5,28,13,31,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:31:15
2023,5,28,13,31,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:31:25
2023,5,28,13,31,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:31:35
2023,5,28,13,31,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:31:45
2023,5,28,13,31,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:31:55
2023,5,28,13,32,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:32:05
2023,5,28,13,32,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:32:15
2023,5,28,13,32,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:32:25
2023,5,28,13,32,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:32:35
2023,5,28,13,32,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:32:45
2023,5,28,13,32,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:32:55
2023,5,28,13,33,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:33:05
2023,5,28,13,33,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:33:15
2023,5,28,13,33,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:33:25
2023,5,28,13,33,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:33:35
2023,5,28,13,33,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:33:45
2023,5,28,13,33,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:33:55
2023,5,28,13,34,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:34:05
2023,5,28,13,34,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:34:15
2023,5,28,13,34,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:34:25
2023,5,28,13,34,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:34:35
2023,5,28,13,34,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:34:45
2023,5,28,13,34,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:34:55
2023,5,28,13,35,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:35:05
2023,5,28,13,35,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:35:15
2023,5,28,13,35,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:35:25
2023,5,28,13,35,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:35:35
2023,5,28,13,35,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:35:45
2023,5,28,13,35,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:35:55
2023,5,28,13,36,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:36:05
2023,5,28,13,36,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:36:15
2023,5,28,13,36,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:36:25
2023,5,28,13,36,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:36:35
2023,5,28,13,36,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:36:45
2023,5,28,13,36,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:36:55
2023,5,28,13,37,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:37:05
2023,5,28,13,37,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:37:15
2023,5,28,13,37,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:37:25
2023,5,28,13,37,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:37:35
2023,5,28,13,37,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:37:45
2023,5,28,13,37,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:37:55
2023,5,28,13,38,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:38:05
2023,5,28,13,38,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:38:15
2023,5,28,13,38,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:38:25
2023,5,28,13,38,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:38:35
2023,5,28,13,38,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:38:45
2023,5,28,13,38,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:38:55
2023,5,28,13,39,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:39:05
2023,5,28,13,39,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:39:15
2023,5,28,13,39,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:39:25
2023,5,28,13,39,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:39:35
2023,5,28,13,39,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:39:45
2023,5,28,13,39,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:39:55
2023,5,28,13,40,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:40:05
2023,5,28,13,40,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:40:15
2023,5,28,13,40,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:40:25
2023,5,28,13,40,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:40:35
2023,5,28,13,40,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:40:45
2023,5,28,13,40,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:40:55
2023,5,28,13,41,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:41:05
2023,5,28,13,41,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:41:15
2023,5,28,13,41,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:41:25
2023,5,28,13,41,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:41:35
2023,5,28,13,41,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:41:45
2023,5,28,13,41,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:41:55
2023,5,28,13,42,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:42:05
2023,5,28,13,42,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:42:15
2023,5,28,13,42,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:42:25
2023,5,28,13,42,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:42:35
2023,5,28,13,42,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:42:45
2023,5,28,13,42,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:42:55
2023,5,28,13,43,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:43:05
2023,5,28,13,43,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:43:15
2023,5,28,13,43,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:43:25
2023,5,28,13,43,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:43:35
2023,5,28,13,43,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:43:45
2023,5,28,13,43,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:43:55
2023,5,28,13,44,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:44:05
2023,5,28,13,44,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:44:15
2023,5,28,13,44,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:44:25
2023,5,28,13,44,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:44:35
2023,5,28,13,44,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:44:45
2023,5,28,13,44,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:44:55
2023,5,28,13,45,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:45:05
2023,5,28,13,45,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:45:15
2023,5,28,13,45,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:45:25
2023,5,28,13,45,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:45:35
2023,5,28,13,45,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:45:45
2023,5,28,13,45,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:45:55
2023,5,28,13,46,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:46:05
2023,5,28,13,46,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:46:15
2023,5,28,13,46,25,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:46:25
2023,5,28,13,46,35,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:46:35
2023,5,28,13,46,45,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:46:45
2023,5,28,13,46,55,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:46:55
2023,5,28,13,47,5,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:47:05
2023,5,28,13,47,15,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:47:15
